## FlyBase unique proteins by gene table
## Generated: Sun Dec 20 13:03:33 2015
## Using datasource: dbi:Pg:dbname=fb_2016_01_reporting;host=flysql15;port=5432...
##FBgn	FB_gene_symbol	representative_protein	identical_protein(s)

FBgn0036350	CG14111	CG14111-PB	
FBgn0036351	CG14107	CG14107-PA	
FBgn0036352	CG14110	CG14110-PA	
FBgn0036353	CG10171	CG10171-PA	
FBgn0036353	CG10171	CG10171-PB	
FBgn0036354	Poc1	Poc1-PA	
FBgn0036354	Poc1	Poc1-PB	
FBgn0036356	CG10222	CG10222-PA	CG10222-PB
FBgn0036359	CG14105	CG14105-PA	
FBgn0036360	CG10713	CG10713-PA	
FBgn0036361	CG10154	CG10154-PA	CG10154-PB
FBgn0036362	CG10725	CG10725-PB	
FBgn0036363	CG10140	CG10140-PA	
FBgn0036364	CG14109	CG14109-PA	CG14109-PB
FBgn0036365	cmb	cmb-PA	
FBgn0036365	cmb	cmb-PB	
FBgn0036365	cmb	cmb-PC	
FBgn0036365	cmb	cmb-PD	
FBgn0036366	CG10133	CG10133-PA	
FBgn0036367	CG10116	CG10116-PA	
FBgn0036368	CG10738	CG10738-PC	
FBgn0036368	CG10738	CG10738-PD	
FBgn0036368	CG10738	CG10738-PE	
FBgn0036368	CG10738	CG10738-PF	
FBgn0036369	CG10089	CG10089-PA	CG10089-PB
FBgn0036369	CG10089	CG10089-PC	
FBgn0036369	CG10089	CG10089-PD	CG10089-PF
FBgn0036369	CG10089	CG10089-PE	
FBgn0036372	Abp1	Abp1-PA	
FBgn0036373	Tgi	Tgi-PA	
FBgn0036373	Tgi	Tgi-PB	
FBgn0036374	Spt20	Spt20-PA	Spt20-PD
FBgn0036374	Spt20	Spt20-PC	
FBgn0036376	Liprin-beta	Liprin-beta-PA	Liprin-beta-PB,Liprin-beta-PC
FBgn0036377	CG10710	CG10710-PA	
FBgn0036380	CG8757	CG8757-PB	
FBgn0036381	CG8745	CG8745-PA	
FBgn0036382	CG13737	CG13737-PA	CG13737-PB
FBgn0036386	CG8833	CG8833-PA	
FBgn0036389	ssp2	ssp2-PA	ssp2-PC
FBgn0036390	CG13738	CG13738-PA	
FBgn0036391	CG17364	CG17364-PC	
FBgn0036391	CG17364	CG17364-PD	CG17364-PF
FBgn0036391	CG17364	CG17364-PE	
FBgn0036393	CG17362	CG17362-PB	
FBgn0036394	CG9040	CG9040-PA	
FBgn0036395	CG17361	CG17361-PA	
FBgn0036396	CG17359	CG17359-PA	
FBgn0036397	Nprl3	Nprl3-PA	Nprl3-PB,Nprl3-PC
FBgn0036398	upSET	upSET-PA	upSET-PB
FBgn0036402	CG6650	CG6650-PA	CG6650-PB,CG6650-PC
FBgn0036403	CG6661	CG6661-PA	
FBgn0036405	CG6833	CG6833-PA	CG6833-PB
FBgn0036406	CG13484	CG13484-PA	
FBgn0036410	CG8100	CG8100-PA	CG8100-PB,CG8100-PC
FBgn0036411	Sox21a	Sox21a-PA	
FBgn0036411	Sox21a	Sox21a-PB	
FBgn0036414	nan	nan-PA	
FBgn0036414	nan	nan-PB	
FBgn0036415	CG7768	CG7768-PA	CG7768-PB
FBgn0036416	CG7924	CG7924-PA	
FBgn0036417	CG7906	CG7906-PA	
FBgn0036417	CG7906	CG7906-PB	
FBgn0036419	CG13482	CG13482-PA	
FBgn0036421	CG13481	CG13481-PB	CG13481-PC
FBgn0036422	CG3868	CG3868-PA	
FBgn0036423	CG3919	CG3919-PB	
FBgn0036423	CG3919	CG3919-PC	
FBgn0036426	CG9592	CG9592-PB	
FBgn0036427	CG4613	CG4613-PB	CG4613-PC
FBgn0036428	Gbs-70E	Gbs-70E-PA	
FBgn0036428	Gbs-70E	Gbs-70E-PB	Gbs-70E-PC
FBgn0036433	CG9628	CG9628-PA	
FBgn0036433	CG9628	CG9628-PB	CG9628-PC
FBgn0036436	CG4914	CG4914-PA	
FBgn0036437	CG5048	CG5048-PA	
FBgn0036438	CG13477	CG13477-PA	
FBgn0036439	CG13474	CG13474-PA	
FBgn0036440	CG17177	CG17177-PA	
FBgn0036440	CG17177	CG17177-PB	
FBgn0036441	CG13476	CG13476-PB	
FBgn0036442	CG13473	CG13473-PA	
FBgn0036443	CG13471	CG13471-PA	
FBgn0036446	CG9384	CG9384-PA	CG9384-PB
FBgn0036447	CG17173	CG17173-PA	
FBgn0036448	mop	mop-PA	
FBgn0036449	bmm	bmm-PA	
FBgn0036449	bmm	bmm-PB	
FBgn0036450	Tdrd3	Tdrd3-PA	
FBgn0036451	CG9425	CG9425-PB	CG9425-PC,CG9425-PD
FBgn0036454	CG17839	CG17839-PB	
FBgn0036454	CG17839	CG17839-PC	
FBgn0036459	CG3349	CG3349-PB	
FBgn0036460	CG5114	CG5114-PA	
FBgn0036460	CG5114	CG5114-PB	
FBgn0036461	Zip71B	Zip71B-PB	Zip71B-PC
FBgn0036462	mRpL39	mRpL39-PA	
FBgn0036463	Reck	Reck-PA	Reck-PB
FBgn0036465	Rpn12R	Rpn12R-PA	
FBgn0036466	CG18581	CG18581-PA	
FBgn0036467	CG12310	CG12310-PA	
FBgn0036468	CG13461	CG13461-PA	
FBgn0036469	CG18649	CG18649-PA	CG18649-PB
FBgn0036470	CG13463	CG13463-PA	
FBgn0036471	CG13460	CG13460-PB	
FBgn0036474	Or71a	Or71a-PB	
FBgn0036474	Or71a	Or71a-PD	
FBgn0036476	sstn	sstn-PA	
FBgn0036479	CG13458	CG13458-PA	
FBgn0036480	Cep135	Cep135-PA	
FBgn0036480	Cep135	Cep135-PB	
FBgn0036480	Cep135	Cep135-PC	
FBgn0036481	CG16959	CG16959-PA	CG16959-PB
FBgn0036481	CG16959	CG16959-PC	CG16959-PD,CG16959-PE
FBgn0036482	CG13457	CG13457-PA	
FBgn0036482	CG13457	CG13457-PB	
FBgn0036483	CG12316	CG12316-PA	CG12316-PB
FBgn0036484	Pex3	Pex3-PA	Pex3-PB
FBgn0036485	FucTA	FucTA-PA	FucTA-PB
FBgn0036486	Msh6	Msh6-PA	
FBgn0036487	Prp31	Prp31-PA	
FBgn0036488	CG6878	CG6878-PA	
FBgn0036489	CG7011	CG7011-PA	
FBgn0036490	CG6888	CG6888-PA	
FBgn0036491	Best4	Best4-PB	
FBgn0036492	Best3	Best3-PA	
FBgn0036493	CG7255	CG7255-PE	CG7255-PG,CG7255-PI
FBgn0036493	CG7255	CG7255-PF	CG7255-PH
FBgn0036494	Toll-6	Toll-6-PA	Toll-6-PB,Toll-6-PC
FBgn0036495	CG33259	CG33259-PA	
FBgn0036496	CG7804	CG7804-PA	CG7804-PB
FBgn0036497	Ran-like	Ran-like-PA	
FBgn0036498	CG13455	CG13455-PA	
FBgn0036499	CG7276	CG7276-PB	
FBgn0036500	CG7275	CG7275-PA	
FBgn0036501	CG7272	CG7272-PA	
FBgn0036502	CG7841	CG7841-PA	CG7841-PB
FBgn0036503	CG13454	CG13454-PA	
FBgn0036504	yellow-k	yellow-k-PA	
FBgn0036505	CG7945	CG7945-PA	
FBgn0036505	CG7945	CG7945-PB	
FBgn0036509	CG7739	CG7739-PA	
FBgn0036510	CG7427	CG7427-PA	CG7427-PE
FBgn0036510	CG7427	CG7427-PB	CG7427-PD
FBgn0036510	CG7427	CG7427-PC	
FBgn0036512	CG16979	CG16979-PA	
FBgn0036514	CG12301	CG12301-PA	
FBgn0036515	CG12304	CG12304-PA	
FBgn0036515	CG12304	CG12304-PB	
FBgn0036516	CG7656	CG7656-PA	CG7656-PF
FBgn0036516	CG7656	CG7656-PD	CG7656-PE
FBgn0036518	RhoGAP71E	RhoGAP71E-PA	
FBgn0036518	RhoGAP71E	RhoGAP71E-PB	
FBgn0036518	RhoGAP71E	RhoGAP71E-PC	
FBgn0036518	RhoGAP71E	RhoGAP71E-PD	
FBgn0036518	RhoGAP71E	RhoGAP71E-PE	
FBgn0036518	RhoGAP71E	RhoGAP71E-PF	
FBgn0036518	RhoGAP71E	RhoGAP71E-PG	
FBgn0036519	CG7650	CG7650-PA	
FBgn0036520	CG13449	CG13449-PA	
FBgn0036520	CG13449	CG13449-PB	
FBgn0036522	CG7372	CG7372-PA	
FBgn0036527	CG7304	CG7304-PB	
FBgn0036528	CG7579	CG7579-PA	
FBgn0036529	pgant8	pgant8-PA	
FBgn0036531	CG6244	CG6244-PA	
FBgn0036532	CG13445	CG13445-PA	
FBgn0036534	DCP2	DCP2-PA	
FBgn0036534	DCP2	DCP2-PB	DCP2-PD
FBgn0036534	DCP2	DCP2-PE	
FBgn0036536	CG12713	CG12713-PA	
FBgn0036537	CG18081	CG18081-PA	CG18081-PB,CG18081-PC
FBgn0036538	CG15715	CG15715-PA	CG15715-PB
FBgn0036544	sff	sff-PA	
FBgn0036544	sff	sff-PB	
FBgn0036544	sff	sff-PC	
FBgn0036545	GXIVsPLA2	GXIVsPLA2-PA	GXIVsPLA2-PD
FBgn0036545	GXIVsPLA2	GXIVsPLA2-PC	
FBgn0036546	elgi	elgi-PA	elgi-PB
FBgn0036547	CG17032	CG17032-PA	CG17032-PB
FBgn0036549	CG10516	CG10516-PA	
FBgn0036550	CG17026	CG17026-PA	
FBgn0036551	CG17029	CG17029-PA	CG17029-PB
FBgn0036552	CG17028	CG17028-PA	CG17028-PB
FBgn0036553	CG17027	CG17027-PA	CG17027-PB
FBgn0036556	CG5830	CG5830-PA	
FBgn0036556	CG5830	CG5830-PB	
FBgn0036557	mRpS31	mRpS31-PA	
FBgn0036560	CG5895	CG5895-PA	
FBgn0036560	CG5895	CG5895-PC	
FBgn0036563	CG13075	CG13075-PB	
FBgn0036565	CG5235	CG5235-PA	CG5235-PB
FBgn0036566	ClC-c	ClC-c-PB	
FBgn0036566	ClC-c	ClC-c-PC	ClC-c-PD
FBgn0036567	CG13074	CG13074-PA	
FBgn0036568	ATPsynbetaL	ATPsynbetaL-PA	
FBgn0036569	CG5414	CG5414-PB	
FBgn0036570	IntS9	IntS9-PA	
FBgn0036571	Strumpellin	Strumpellin-PA	Strumpellin-PB
FBgn0036571	Strumpellin	Strumpellin-PC	
FBgn0036574	elg1	elg1-PC	
FBgn0036574	elg1	elg1-PD	elg1-PE
FBgn0036575	CG5157	CG5157-PA	
FBgn0036576	CG5151	CG5151-PC	CG5151-PD,CG5151-PE,CG5151-PF
FBgn0036577	CG13073	CG13073-PB	
FBgn0036579	CG5027	CG5027-PA	
FBgn0036580	PDCD-5	PDCD-5-PA	
FBgn0036581	MED10	MED10-PB	MED10-PC
FBgn0036583	CG13055	CG13055-PA	CG13055-PB
FBgn0036584	CG13054	CG13054-PA	
FBgn0036585	CG13071	CG13071-PB	
FBgn0036586	CG13070	CG13070-PB	
FBgn0036587	CG4950	CG4950-PB	CG4950-PC
FBgn0036588	CG13068	CG13068-PA	
FBgn0036589	CG13067	CG13067-PA	
FBgn0036590	CG13065	CG13065-PA	
FBgn0036591	CG13050	CG13050-PA	
FBgn0036592	CG13049	CG13049-PA	
FBgn0036593	CG13048	CG13048-PA	CG13048-PB
FBgn0036594	CG13047	CG13047-PB	
FBgn0036595	CG13046	CG13046-PB	
FBgn0036596	CG13045	CG13045-PB	
FBgn0036597	CG4962	CG4962-PA	
FBgn0036598	CG4982	CG4982-PA	
FBgn0036599	CG13044	CG13044-PA	
FBgn0036600	CG13043	CG13043-PA	
FBgn0036601	CG13063	CG13063-PA	
FBgn0036602	CG13042	CG13042-PA	
FBgn0036603	CG13062	CG13062-PB	
FBgn0036605	CG13041	CG13041-PA	
FBgn0036606	CG13060	CG13060-PA	
FBgn0036607	CG13059	CG13059-PA	
FBgn0036608	CG13040	CG13040-PA	CG13040-PB
FBgn0036609	CG13039	CG13039-PA	
FBgn0036610	CG13058	CG13058-PA	
FBgn0036612	CG4998	CG4998-PA	
FBgn0036612	CG4998	CG4998-PB	
FBgn0036614	CG4925	CG4925-PA	
FBgn0036615	Tcs3	Tcs3-PA	
FBgn0036617	Cpr72Ea	Cpr72Ea-PA	
FBgn0036618	Cpr72Eb	Cpr72Eb-PA	
FBgn0036619	Cpr72Ec	Cpr72Ec-PA	
FBgn0036620	CG4842	CG4842-PA	
FBgn0036621	roq	roq-PA	roq-PB,roq-PC
FBgn0036622	CG4753	CG4753-PA	CG4753-PB,CG4753-PC
FBgn0036623	CG4729	CG4729-PA	CG4729-PB,CG4729-PC
FBgn0036623	CG4729	CG4729-PD	
FBgn0036623	CG4729	CG4729-PE	
FBgn0036624	RAF2	RAF2-PA	RAF2-PB,RAF2-PC
FBgn0036627	Gagr	Gagr-PA	Gagr-PB
FBgn0036629	CG4573	CG4573-PA	
FBgn0036638	CG13033	CG13033-PA	
FBgn0036639	CG4229	CG4229-PA	
FBgn0036640	nxf2	nxf2-PA	nxf2-PB
FBgn0036640	nxf2	nxf2-PC	
FBgn0036641	Smn	Smn-PA	Smn-PB
FBgn0036643	Syx8	Syx8-PA	
FBgn0036648	CG4098	CG4098-PA	
FBgn0036652	CG13032	CG13032-PA	
FBgn0036654	CG9692	CG9692-PB	
FBgn0036654	CG9692	CG9692-PC	
FBgn0036655	CG13031	CG13031-PA	
FBgn0036656	CG13026	CG13026-PB	CG13026-PC
FBgn0036659	CG9701	CG9701-PA	
FBgn0036660	CG13025	CG13025-PA	CG13025-PB
FBgn0036661	CG9705	CG9705-PA	CG9705-PB,CG9705-PC
FBgn0036662	CG9706	CG9706-PA	CG9706-PB
FBgn0036663	CG9674	CG9674-PA	CG9674-PD
FBgn0036663	CG9674	CG9674-PE	CG9674-PH,CG9674-PI
FBgn0036663	CG9674	CG9674-PF	CG9674-PG
FBgn0036665	CG13024	CG13024-PB	
FBgn0036665	CG13024	CG13024-PC	
FBgn0036666	TSG101	TSG101-PA	
FBgn0036667	CG9669	CG9669-PA	CG9669-PB
FBgn0036668	CG9715	CG9715-PA	
FBgn0036670	CG13029	CG13029-PC	
FBgn0036670	CG13029	CG13029-PD	
FBgn0036671	CG9951	CG9951-PA	
FBgn0036676	CG13028	CG13028-PA	
FBgn0036677	CG13023	CG13023-PA	CG13023-PB
FBgn0036678	CG11905	CG11905-PA	CG11905-PD,CG11905-PG
FBgn0036678	CG11905	CG11905-PB	CG11905-PF,CG11905-PI
FBgn0036678	CG11905	CG11905-PC	CG11905-PE,CG11905-PH
FBgn0036678	CG11905	CG11905-PL	
FBgn0036679	CG13022	CG13022-PB	
FBgn0036680	Cpr73D	Cpr73D-PB	
FBgn0036680	Cpr73D	Cpr73D-PC	
FBgn0036681	Obp73a	Obp73a-PB	
FBgn0036684	CG3764	CG3764-PA	CG3764-PC
FBgn0036684	CG3764	CG3764-PB	
FBgn0036685	CG6664	CG6664-PA	CG6664-PB,CG6664-PC
FBgn0036686	CG7728	CG7728-PA	
FBgn0036687	CG6652	CG6652-PA	
FBgn0036688	Fit2	Fit2-PA	
FBgn0036689	CG7730	CG7730-PC	
FBgn0036690	Ilp8	Ilp8-PB	
FBgn0036691	beg	beg-PA	
FBgn0036695	Papst2	Papst2-PA	
FBgn0036696	CG14057	CG14057-PA	
FBgn0036696	CG14057	CG14057-PB	
FBgn0036697	rogdi	rogdi-PA	
FBgn0036697	rogdi	rogdi-PB	
FBgn0036698	CG7724	CG7724-PA	
FBgn0036702	CG6512	CG6512-PA	
FBgn0036702	CG6512	CG6512-PB	
FBgn0036703	CG7707	CG7707-PA	
FBgn0036704	CG6497	CG6497-PA	CG6497-PB
FBgn0036705	CG13723	CG13723-PA	
FBgn0036706	ND-24L	ND-24L-PA	
FBgn0036707	CG13724	CG13724-PA	
FBgn0036708	CG13725	CG13725-PA	
FBgn0036709	Or74a	Or74a-PA	
FBgn0036710	CG6479	CG6479-PA	
FBgn0036710	CG6479	CG6479-PB	
FBgn0036710	CG6479	CG6479-PC	
FBgn0036711	CG13727	CG13727-PA	
FBgn0036712	brv2	brv2-PA	
FBgn0036712	brv2	brv2-PB	
FBgn0036713	Mip	Mip-PA	
FBgn0036714	CG7692	CG7692-PA	
FBgn0036714	CG7692	CG7692-PB	CG7692-PD
FBgn0036714	CG7692	CG7692-PC	
FBgn0036715	Cad74A	Cad74A-PA	Cad74A-PB,Cad74A-PC
FBgn0036716	CG13728	CG13728-PA	
FBgn0036717	CG13731	CG13731-PB	
FBgn0036723	CG12229	CG12229-PA	
FBgn0036725	CG18265	CG18265-PA	CG18265-PB,CG18265-PC
FBgn0036726	QIL1	QIL1-PA	
FBgn0036727	CG7589	CG7589-PA	CG7589-PB
FBgn0036728	UQCR-Q	UQCR-Q-PA	UQCR-Q-PB,UQCR-Q-PC,UQCR-Q-PD
FBgn0036729	CG13733	CG13733-PA	
FBgn0036730	qjt	qjt-PA	qjt-PB
FBgn0036731	CG6333	CG6333-PA	CG6333-PB
FBgn0036732	Oatp74D	Oatp74D-PA	Oatp74D-PC,Oatp74D-PD,Oatp74D-PE
FBgn0036733	U4-U6-60K	U4-U6-60K-PA	
FBgn0036734	CG7564	CG7564-PA	CG7564-PB,CG7564-PC,CG7564-PD
FBgn0036735	Edc3	Edc3-PB	
FBgn0036738	CG7542	CG7542-PA	CG7542-PB
FBgn0036740	Vps60	Vps60-PA	Vps60-PB
FBgn0036741	CG7510	CG7510-PA	
FBgn0036741	CG7510	CG7510-PB	
FBgn0036742	CG7497	CG7497-PB	CG7497-PC
FBgn0036745	CG7484	CG7484-PB	
FBgn0036746	Crtc	Crtc-PA	Crtc-PC
FBgn0036746	Crtc	Crtc-PB	
FBgn0036747	CG6052	CG6052-PA	
FBgn0036749	CG7460	CG7460-PB	CG7460-PC
FBgn0036750	CG6034	CG6034-PA	
FBgn0036751	Adgf-B	Adgf-B-PA	
FBgn0036752	Adgf-A	Adgf-A-PA	Adgf-A-PB
FBgn0036754	CG5589	CG5589-PA	
FBgn0036756	cln3	cln3-PA	cln3-PB
FBgn0036757	Ir75a	Ir75a-PB	
FBgn0036759	CG5577	CG5577-PA	CG5577-PB
FBgn0036760	CG5567	CG5567-PA	
FBgn0036761	MED19	MED19-PA	MED19-PB
FBgn0036762	CG7430	CG7430-PA	CG7430-PB
FBgn0036763	CG7441	CG7441-PA	CG7441-PB
FBgn0036764	CG5535	CG5535-PB	
FBgn0036764	CG5535	CG5535-PC	
FBgn0036765	CG7408	CG7408-PB	CG7408-PC,CG7408-PD
FBgn0036766	CG5506	CG5506-PA	
FBgn0036767	CG16775	CG16775-PB	
FBgn0036768	CG7402	CG7402-PA	
FBgn0036769	Tsp74F	Tsp74F-PA	Tsp74F-PB
FBgn0036770	Prestin	Prestin-PA	
FBgn0036771	CG14353	CG14353-PA	
FBgn0036772	CG5290	CG5290-PA	
FBgn0036773	CG13698	CG13698-PB	CG13698-PC
FBgn0036774	mRpS26	mRpS26-PA	
FBgn0036775	CG5147	CG5147-PA	
FBgn0036777	CG7341	CG7341-PA	CG7341-PB
FBgn0036778	Cyp312a1	Cyp312a1-PA	Cyp312a1-PB
FBgn0036780	CG7330	CG7330-PA	CG7330-PB
FBgn0036781	CG13699	CG13699-PA	
FBgn0036782	CG7320	CG7320-PB	
FBgn0036783	CheA75a	CheA75a-PA	
FBgn0036784	CG5103	CG5103-PA	
FBgn0036785	CG13700	CG13700-PB	
FBgn0036785	CG13700	CG13700-PC	
FBgn0036785	CG13700	CG13700-PD	
FBgn0036785	CG13700	CG13700-PE	
FBgn0036786	skl	skl-PA	
FBgn0036787	CG4306	CG4306-PA	
FBgn0036789	AstC-R2	AstC-R2-PB	AstC-R2-PE
FBgn0036789	AstC-R2	AstC-R2-PD	
FBgn0036789	AstC-R2	AstC-R2-PF	
FBgn0036790	AstC-R1	AstC-R1-PA	
FBgn0036791	CG7271	CG7271-PA	
FBgn0036793	CG4174	CG4174-PD	CG4174-PE,CG4174-PF
FBgn0036795	CG18233	CG18233-PB	
FBgn0036796	CG18231	CG18231-PB	
FBgn0036799	CG13380	CG13380-PB	CG13380-PC,CG13380-PD
FBgn0036801	MYPT-75D	MYPT-75D-PA	MYPT-75D-PC,MYPT-75D-PD
FBgn0036801	MYPT-75D	MYPT-75D-PB	
FBgn0036804	Sgf11	Sgf11-PB	
FBgn0036805	Chmp1	Chmp1-PA	Chmp1-PB
FBgn0036806	Cyp12c1	Cyp12c1-PA	Cyp12c1-PB
FBgn0036807	CG6893	CG6893-PB	
FBgn0036808	Dic4	Dic4-PA	Dic4-PC
FBgn0036808	Dic4	Dic4-PB	
FBgn0036809	CG12477	CG12477-PA	
FBgn0036810	CG6885	CG6885-PA	
FBgn0036811	MED11	MED11-PA	
FBgn0036812	Nufip	Nufip-PA	
FBgn0036813	Atg3	Atg3-PA	
FBgn0036814	CG14073	CG14073-PB	CG14073-PC
FBgn0036815	HipHop	HipHop-PA	HipHop-PB
FBgn0036816	Indy	Indy-PA	Indy-PC,Indy-PD
FBgn0036816	Indy	Indy-PB	
FBgn0036817	CG6865	CG6865-PB	
FBgn0036818	CG14074	CG14074-PB	
FBgn0036819	Dysb	Dysb-PA	Dysb-PB
FBgn0036820	CG6852	CG6852-PA	CG6852-PC
FBgn0036821	CG3961	CG3961-PA	CG3961-PC
FBgn0036821	CG3961	CG3961-PD	
FBgn0036821	CG3961	CG3961-PE	
FBgn0036822	NijB	NijB-PA	
FBgn0036824	CG3902	CG3902-PA	
FBgn0036825	RpL26	RpL26-PA	RpL26-PB,RpL26-PC
FBgn0036826	arx	arx-PA	
FBgn0036827	CG6843	CG6843-PA	
FBgn0036828	CG6841	CG6841-PA	CG6841-PB
FBgn0036829	Ir75d	Ir75d-PC	
FBgn0036830	CG14077	CG14077-PB	CG14077-PC
FBgn0036831	CG6839	CG6839-PA	
FBgn0036832	CG18223	CG18223-PA	
FBgn0036832	CG18223	CG18223-PC	
FBgn0036833	CG3819	CG3819-PA	CG3819-PB
FBgn0036834	CG6836	CG6836-PA	
FBgn0036835	CG14075	CG14075-PA	
FBgn0036836	CG11619	CG11619-PA	
FBgn0036837	CG18135	CG18135-PA	
FBgn0036837	CG18135	CG18135-PB	
FBgn0036837	CG18135	CG18135-PC	
FBgn0036837	CG18135	CG18135-PD	
FBgn0036837	CG18135	CG18135-PE	
FBgn0036838	CG3808	CG3808-PA	
FBgn0036839	SmydA-2	SmydA-2-PA	
FBgn0036842	CG3797	CG3797-PA	CG3797-PB
FBgn0036843	CG6812	CG6812-PA	
FBgn0036844	Mkp3	Mkp3-PA	
FBgn0036844	Mkp3	Mkp3-PB	Mkp3-PD
FBgn0036844	Mkp3	Mkp3-PC	
FBgn0036846	MESR6	MESR6-PA	
FBgn0036846	MESR6	MESR6-PB	
FBgn0036847	CG11577	CG11577-PA	
FBgn0036848	CG10424	CG10424-PA	
FBgn0036849	CG14079	CG14079-PA	
FBgn0036850	Gem2	Gem2-PA	Gem2-PB
FBgn0036851	CG14082	CG14082-PC	CG14082-PE
FBgn0036851	CG14082	CG14082-PD	
FBgn0036853	mRpL21	mRpL21-PA	mRpL21-PB,mRpL21-PC
FBgn0036856	CG9666	CG9666-PA	CG9666-PD
FBgn0036857	CG9629	CG9629-PA	
FBgn0036858	CG14088	CG14088-PB	
FBgn0036859	CG14085	CG14085-PA	
FBgn0036860	CG14086	CG14086-PD	
FBgn0036861	CG14089	CG14089-PA	
FBgn0036862	Gbs-76A	Gbs-76A-PA	Gbs-76A-PB,Gbs-76A-PC,Gbs-76A-PD
FBgn0036868	ms(3)76Ba	ms(3)76Ba-PC	
FBgn0036870	CG14095	CG14095-PA	
FBgn0036871	CG14096	CG14096-PA	
FBgn0036872	CG12519	CG12519-PA	CG12519-PB
FBgn0036873	CG18294	CG18294-PA	
FBgn0036874	brv1	brv1-PA	
FBgn0036875	CG9449	CG9449-PE	
FBgn0036875	CG9449	CG9449-PF	CG9449-PG,CG9449-PH
FBgn0036875	CG9449	CG9449-PJ	
FBgn0036875	CG9449	CG9449-PK	
FBgn0036876	CG9451	CG9451-PA	CG9451-PB
FBgn0036877	CG9452	CG9452-PA	
FBgn0036878	Cpr76Ba	Cpr76Ba-PA	
FBgn0036879	Cpr76Bb	Cpr76Bb-PA	
FBgn0036880	Cpr76Bc	Cpr76Bc-PC	Cpr76Bc-PD
FBgn0036881	Cpr76Bd	Cpr76Bd-PB	Cpr76Bd-PD
FBgn0036881	Cpr76Bd	Cpr76Bd-PC	
FBgn0036882	CG9279	CG9279-PB	CG9279-PC
FBgn0036886	CG9300	CG9300-PA	
FBgn0036887	CG9231	CG9231-PA	CG9231-PB
FBgn0036888	CG9330	CG9330-PA	
FBgn0036889	CG14100	CG14100-PA	
FBgn0036890	CG9368	CG9368-PA	
FBgn0036890	CG9368	CG9368-PB	
FBgn0036890	CG9368	CG9368-PD	
FBgn0036891	CG9372	CG9372-PA	
FBgn0036892	Lon	Lon-PA	
FBgn0036892	Lon	Lon-PC	
FBgn0036893	CG9376	CG9376-PA	
FBgn0036895	ms(3)76Cc	ms(3)76Cc-PA	
FBgn0036896	wnd	wnd-PA	wnd-PB,wnd-PC
FBgn0036896	wnd	wnd-PD	
FBgn0036897	CG8786	CG8786-PB	
FBgn0036897	CG8786	CG8786-PC	CG8786-PG
FBgn0036897	CG8786	CG8786-PF	
FBgn0036899	tey	tey-PA	
FBgn0036899	tey	tey-PB	
FBgn0036899	tey	tey-PC	
FBgn0036899	tey	tey-PD	
FBgn0036900	CG8765	CG8765-PA	
FBgn0036900	CG8765	CG8765-PB	
FBgn0036900	CG8765	CG8765-PC	
FBgn0036905	ms(3)76Ca	ms(3)76Ca-PA	
FBgn0036906	CG14102	CG14102-PA	
FBgn0036908	CG14103	CG14103-PA	CG14103-PB
FBgn0036909	CG15881	CG15881-PA	
FBgn0036909	CG15881	CG15881-PB	CG15881-PC
FBgn0036910	Cyp305a1	Cyp305a1-PA	
FBgn0036911	Fibp	Fibp-PB	Fibp-PC,Fibp-PE,Fibp-PF
FBgn0036911	Fibp	Fibp-PG	
FBgn0036913	Usp32	Usp32-PB	
FBgn0036913	Usp32	Usp32-PC	
FBgn0036913	Usp32	Usp32-PD	
FBgn0036913	Usp32	Usp32-PE	
FBgn0036915	Prp3	Prp3-PA	
FBgn0036915	Prp3	Prp3-PB	
FBgn0036916	Mtr3	Mtr3-PA	
FBgn0036918	CG7770	CG7770-PA	CG7770-PB
FBgn0036919	Grasp65	Grasp65-PA	
FBgn0036920	CG8004	CG8004-PA	
FBgn0036921	RhoGDI	RhoGDI-PA	RhoGDI-PB
FBgn0036922	CG14182	CG14182-PA	CG14182-PB,CG14182-PD
FBgn0036922	CG14182	CG14182-PC	
FBgn0036923	CG17732	CG17732-PB	
FBgn0036924	hale	hale-PA	
FBgn0036925	schuy	schuy-PA	
FBgn0036926	CG7646	CG7646-PA	CG7646-PC
FBgn0036926	CG7646	CG7646-PB	
FBgn0036927	CG7433	CG7433-PA	CG7433-PB,CG7433-PC,CG7433-PD
FBgn0036928	Tom20	Tom20-PA	Tom20-PB
FBgn0036929	CG7668	CG7668-PA	CG7668-PC
FBgn0036931	CG14183	CG14183-PA	
FBgn0036932	CG14184	CG14184-PA	CG14184-PB
FBgn0036934	sNPF-R	sNPF-R-PA	sNPF-R-PB
FBgn0036935	CG14186	CG14186-PA	
FBgn0036936	CG14185	CG14185-PA	
FBgn0036937	Ir76b	Ir76b-PA	
FBgn0036938	CG14187	CG14187-PA	
FBgn0036938	CG14187	CG14187-PB	
FBgn0036939	CG7365	CG7365-PA	CG7365-PB
FBgn0036940	obst-J	obst-J-PA	
FBgn0036941	CG7335	CG7335-PA	
FBgn0036942	CG7328	CG7328-PA	
FBgn0036945	Ssk	Ssk-PA	Ssk-PB
FBgn0036947	obst-F	obst-F-PA	
FBgn0036948	CG7298	CG7298-PA	
FBgn0036949	CG7290	CG7290-PA	CG7290-PB
FBgn0036950	CG6996	CG6996-PB	CG6996-PC
FBgn0036951	CG7017	CG7017-PA	CG7017-PB
FBgn0036952	CG6933	CG6933-PA	
